Keyword: vă, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: când, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.35
Keyword: jurnalist, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.21
Keyword: ar, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.24
Keyword: ceea, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: toate, Frequency: 5, Sentiment: Neutral, Average VADER Score: 0.22
Keyword: medic, Frequency: 4, Sentiment: Neutral, Average VADER Score: -0.12
Keyword: cușcă, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.30
Keyword: multe, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: cumpărat, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.46
Keyword: echipamente, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.42
Keyword: șeful, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.39
Keyword: centrele, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.23
Keyword: spun, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: cele, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.52
Keyword: îi, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.21
Keyword: prin, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: copilului, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.39
Keyword: al, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.43
Keyword: chiar, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.53
Keyword: situația, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: diferite, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.29
Keyword: mures, Frequency: 4, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: groazei, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: zăceau, Frequency: 3, Sentiment: Neutral, Average VADER Score: -0.16
Keyword: cățeluși, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.40
Keyword: manager, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.49
Keyword: 14, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.44
Keyword: fabricate, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.44
Keyword: fiecare, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.44
Keyword: parte, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.44
Keyword: aparate, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: părerea, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.52
Keyword: mea, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.52
Keyword: dădea, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.52
Keyword: demarat, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: săptămâna, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: bucurești, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.50
Keyword: iar, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.41
Keyword: poate, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.50
Keyword: facebook, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: control, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.49
Keyword: condiții, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.16
Keyword: ale, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: va, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.07
Keyword: copiilor, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.41
Keyword: cei, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.60
Keyword: era, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.30
Keyword: miști, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.07
Keyword: până, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.35
Keyword: cauza, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: aceasta, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.14
Keyword: dacă, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: te, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: înseamnă, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.16
Keyword: aici, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: continuare, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: nemișcați, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: cristian, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.18
Keyword: citre, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.18
Keyword: ați, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.37
Keyword: autoritățile, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.37
Keyword: spune, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: monitorizare, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.54
Keyword: foarte, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.28
Keyword: doamna, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.54
Keyword: personalul, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.16
Keyword: lucru, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.33
Keyword: măcar, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.33
Keyword: strada, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.21
Keyword: trebely, Frequency: 3, Sentiment: Positive, Average VADER Score: 0.21
Keyword: atât, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: stele, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: ai, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: presă, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: deși, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: putea, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: întrucât, Frequency: 3, Sentiment: Neutral, Average VADER Score: 0.47
Keyword: video, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: stat, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: numai, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: spate, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: data, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: 13, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: 01, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: 2025, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: 17, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: tratați, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: siguranță, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.49
Keyword: viitoare, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: întrerupt, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: îngrijiri, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.54
Keyword: specialitate, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: îngrijit, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: serviciilor, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.62
Keyword: medicale, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: anunțat, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: început, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: verificările, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.49
Keyword: unde, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: zeci, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: verificărilor, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: apărea, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: săptămână, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: dintre, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.31
Keyword: legal, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.13
Keyword: capitală, Frequency: 2, Sentiment: Positive, Average VADER Score: -0.06
Keyword: plătească, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.31
Keyword: vom, Frequency: 2, Sentiment: Neutral, Average VADER Score: -0.24
Keyword: lui, Frequency: 2, Sentiment: Neutral, Average VADER Score: -0.24
Keyword: proiect, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.01
Keyword: 24, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: mici, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.49
Keyword: important, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.20
Keyword: niciun, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: îl, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: l, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: adevărat, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: fără, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: kinetoterapie, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: mult, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.17
Keyword: sigur, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: general, Frequency: 2, Sentiment: Positive, Average VADER Score: 0.06
Keyword: ergoterapie, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: către, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: evaluat, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: adică, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: adevăr, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.00
Keyword: venit, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: acele, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.49
Keyword: centrului, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.54
Keyword: situație, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.62
Keyword: ridicați, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: trei, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: ori, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: zi, Frequency: 2, Sentiment: Neutral, Average VADER Score: 0.25
